dataset/discogs,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-5ch53cvq/export.nq.gz
dataset/void,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-5p9hsdbp/export.nq.gz
dataset/pali-english-lexicon,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-65549fvh/export.nq.gz
dataset/semiconductor-test-set-2,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-6aqujx4o/export.nq.gz
dataset/ordnance-survey-linked-data,Open Government License for Public Sector Information,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-6pb8yu0h/export.nq.gz
dataset/cdk-cito,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-7o05ycx2/export.nq.gz
dataset/bruce-whealton-foaf-profile,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-7ytgtpb6/export.nq.gz
dataset/bbc-wildlife,BBC Backstage License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-8761o1fl/export.nq.gz
dataset/uow-archives,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-89ge1n5c/export.nq.gz
dataset/mta-new-york-city-transit,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-8lm72q1v/export.nq.gz
dataset/contrib-brighton,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-8pst1m58/export.nq.gz
dataset/space-exercise,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-8rtqcobc/export.nq.gz
dataset/bergen-open-research-archive,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-8uvml0wy/export.nq.gz
dataset/panini-stickers,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-905ifvr3/export.nq.gz
dataset/oxpoints-geographic-qrcodes,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-92wv62yc/export.nq.gz
dataset/us-geography,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-9i5edg0f/export.nq.gz
dataset/federal-reserve-economic-data,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-9jbfqcrd/export.nq.gz
dataset/uk-transport-operators,Creative Commons Attribution-ShareAlike 3.0 Unported (CC-BY-SA 3.0),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-9sqt5zhk/export.nq.gz
dataset/bricklink,Creative Commons Attribution (CC-BY),https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-9vzsbo2w/export.nq.gz
dataset/sembookshelf,Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-a1i388vq/export.nq.gz
dataset/european-election-results,Creative Commons CC0,https://s3-eu-west-1.amazonaws.com/kasabi-exports/datasets/b-plive-a9lc1768/export.nq.gz
